ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787729332.944,338,13.9,73664,10.9522,1.52,3.9
1787729332.958,339,13.9,73558,10.9825,1.52,3.8
1787729332.972,340,13.9,73519,10.9870,1.52,3.9
1787729332.986,341,13.9,73613,11.0056,1.52,3.9
1787729333.000,342,13.9,73516,10.9910,1.52,4.0
1787729333.014,343,13.9,73529,10.9737,1.52,4.0
1787729333.028,344,13.9,73631,10.9926,1.52,3.9
1787729333.042,345,13.9,73569,10.9985,1.52,3.9
1787729333.056,346,13.9,73694,10.9825,1.52,3.9
1787729333.070,347,13.9,73558,10.9771,1.52,4.0
1787729333.084,348,13.9,73628,10.9766,1.52,3.9
1787729333.099,349,14.0,72932,10.9965,1.52,3.3
1787729333.113,350,14.1,72600,11.0083,1.52,3.5
1787729333.127,351,13.9,73751,10.9581,1.52,3.7
1787729333.141,352,14.0,73215,10.9812,1.52,3.7
1787729333.155,353,13.9,73486,10.9490,1.52,3.7
1787729333.169,354,13.9,73528,10.9883,1.52,3.7
1787729333.184,355,14.4,70987,10.9893,1.52,3.6
1787729333.198,356,13.9,73543,10.9637,1.52,3.7
1787729333.212,357,14.1,72710,10.9334,1.52,3.7
1787729333.226,358,14.0,73292,10.9941,1.52,3.7
1787729333.240,359,13.9,73569,11.0130,1.52,3.7
1787729333.254,360,13.9,73500,10.9761,1.52,3.8
1787729333.268,361,14.2,71956,10.9714,1.52,3.8
1787729333.283,362,14.1,72369,10.9814,1.52,3.7
1787729333.297,363,14.0,73108,10.9890,1.52,3.7
1787729333.311,364,13.9,73409,10.9466,1.52,3.7
1787729333.325,365,13.9,73501,10.9690,1.52,3.8
1787729333.339,366,13.9,73679,10.9614,1.52,3.8
1787729333.353,367,13.9,73529,10.9714,1.52,3.8
1787729333.367,368,13.9,73693,10.9833,1.52,3.8
1787729333.381,369,13.9,73582,10.9572,1.52,3.8
1787729333.396,370,14.3,71737,10.9893,1.52,3.8
1787729333.410,371,14.2,72169,10.9570,1.52,3.8
1787729333.424,372,14.0,73364,10.9851,1.52,3.7
1787729333.438,373,14.1,72521,10.9697,1.52,3.7
1787729333.453,374,14.3,71434,10.9590,1.52,3.9
1787729333.467,375,13.9,73615,10.9666,1.52,3.5
1787729333.481,376,13.9,73539,10.9663,1.52,4.0
1787729333.495,377,13.9,73555,10.9483,1.52,4.0
1787729333.509,378,13.9,73564,10.9684,1.52,3.9
1787729333.523,379,13.9,73530,10.9853,1.52,4.0
1787729333.537,380,13.9,73661,10.9778,1.52,3.9
1787729333.551,381,13.9,73587,10.9592,1.52,3.9
1787729333.565,382,13.9,73645,10.9744,1.52,4.0
1787729333.579,383,13.9,73630,11.0027,1.52,3.9
1787729333.593,384,13.9,73457,10.9668,1.52,4.0
1787729333.607,385,13.9,73490,10.9560,1.52,3.9
1787729333.621,386,13.9,73428,10.9558,1.52,4.0
1787729333.635,387,13.9,73540,10.9877,1.52,3.8
1787729333.649,388,13.9,73665,10.9720,1.52,4.0
1787729333.663,389,13.9,73637,10.9513,1.52,4.0
1787729333.677,390,13.9,73448,10.9294,1.52,4.0
1787729333.691,391,13.9,73599,10.9791,1.52,4.0
1787729333.705,392,13.9,73495,10.9896,1.52,3.9
1787729333.720,393,13.9,73446,10.9642,1.52,4.0
1787729333.734,394,13.9,73704,10.9905,1.52,3.9
1787729333.748,395,13.9,73460,10.9864,1.52,3.9
1787729333.762,396,13.9,73475,11.0299,1.52,3.9
1787729333.776,397,13.9,73436,10.9749,1.52,4.0
1787729333.790,398,13.9,73481,11.0065,1.52,4.0
1787729333.804,399,13.9,73507,11.0214,1.52,4.0
1787729333.818,400,13.9,73526,10.9706,1.52,4.0
1787729333.832,401,13.9,73583,10.9245,1.52,3.9
1787729333.846,402,13.9,73615,10.9631,1.52,3.9
1787729333.860,403,13.9,73426,11.0191,1.52,3.8
1787729333.874,404,13.9,73533,10.9788,1.52,4.0
1787729333.888,405,13.9,73567,10.9666,1.52,3.9
1787729333.902,406,13.9,73433,10.9629,1.52,4.0
1787729333.916,407,13.9,73559,10.9878,1.52,3.9
1787729333.930,408,13.9,73617,10.9917,1.52,4.0
1787729333.944,409,13.9,73592,10.9804,1.52,4.0
1787729333.958,410,13.9,73613,10.9872,1.52,4.0
1787729333.972,411,13.9,73606,10.9557,1.52,3.9
1787729333.986,412,13.9,73497,10.9664,1.52,3.9
1787729334.000,413,13.9,73533,10.9740,1.52,3.9
1787729334.014,414,13.9,73599,10.9767,1.52,3.9
1787729334.029,415,13.9,73524,10.9922,1.52,3.9
1787729334.043,416,13.9,73422,10.9827,1.52,4.0
1787729334.057,417,13.9,73668,10.9641,1.52,3.9
1787729334.649,418,592.6,1728,10.9831,1.52,579.6
1787729335.257,419,424.4,2413,10.9567,1.52,406.1
1787729335.309,420,52.4,19530,10.9774,1.52,35.6
1787729335.348,421,38.3,26763,10.9781,1.52,23.4
1787729335.363,422,15.3,67122,10.9505,1.52,2.6
1787729335.378,423,15.1,67795,10.9422,1.52,2.7
1787729335.394,424,15.1,67986,10.9579,1.52,4.0
1787729335.408,425,14.6,70107,10.9674,1.52,4.5
1787729335.423,426,14.6,70093,10.9790,1.52,4.5
1787729335.438,427,14.6,70172,10.9785,1.52,4.6
1787729335.453,428,14.6,70172,11.0004,1.52,4.6
1787729335.467,429,14.6,70249,10.9727,1.52,4.6
1787729335.482,430,14.6,70314,10.9691,1.52,4.6
1787729335.497,431,14.6,70294,10.9520,1.52,4.6
1787729335.511,432,14.5,70421,11.0037,1.52,4.4
1787729335.526,433,14.6,70296,10.9561,1.52,4.6
1787729335.541,434,14.6,70209,10.9855,1.52,4.6
1787729335.555,435,14.6,70336,10.9942,1.52,4.4
1787729335.570,436,14.6,70317,10.9869,1.52,4.6
1787729335.585,437,14.6,70304,10.9534,1.52,4.6
1787729335.599,438,14.6,70346,11.0006,1.52,4.6
1787729335.614,439,14.6,70329,10.9615,1.52,4.6
