ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731021.824,325,15.1,67803,10.9920,1.52,0.0
1787731021.840,326,15.4,66468,10.9515,1.52,0.0
1787731021.855,327,15.2,67505,11.0055,1.52,0.0
1787731021.870,328,15.4,66622,10.9390,1.52,0.0
1787731021.886,329,15.2,67175,10.9669,1.52,0.0
1787731021.901,330,15.1,67976,10.9656,1.52,0.0
1787731021.916,331,15.4,66544,11.0058,1.52,0.0
1787731021.932,332,15.2,67389,10.9656,1.52,0.0
1787731021.947,333,15.0,68075,10.9908,1.52,0.0
1787731021.962,334,15.4,66569,10.9724,1.52,0.0
1787731021.978,335,15.2,67437,11.0046,1.52,0.0
1787731021.994,336,15.8,64732,10.9619,1.52,0.0
1787731022.009,337,15.1,67626,10.9899,1.52,0.0
1787731022.024,338,15.4,66607,10.9476,1.52,0.0
1787731022.040,339,15.2,67437,10.9769,1.52,0.0
1787731022.055,340,15.0,68217,10.9889,1.52,0.0
1787731022.070,341,15.4,66475,10.9955,1.52,0.0
1787731022.086,342,15.2,67479,10.9868,1.52,0.0
1787731022.101,343,15.0,68106,10.9904,1.52,0.0
1787731022.116,344,15.4,66536,10.9882,1.52,0.0
1787731022.132,345,15.2,67400,10.9862,1.52,0.0
1787731022.147,346,15.0,68123,10.9795,1.52,0.0
1787731022.162,347,15.4,66589,10.9545,1.52,0.0
1787731022.178,348,15.2,67369,10.9630,1.52,0.0
1787731022.193,349,15.0,68207,10.9973,1.52,0.0
1787731022.208,350,15.0,68368,11.0166,1.52,0.0
1787731022.224,351,15.4,66380,10.9660,1.52,0.0
1787731022.239,352,15.1,67735,10.9956,1.52,0.0
1787731022.254,353,15.4,66491,10.9685,1.52,0.0
1787731022.270,354,15.3,67112,10.9795,1.52,0.0
1787731022.285,355,15.6,65781,10.9924,1.52,0.0
1787731022.302,356,16.0,64019,10.9694,1.52,0.0
1787731022.317,357,15.1,67620,10.9474,1.52,0.0
1787731022.332,358,15.4,66603,10.9736,1.52,0.0
1787731022.348,359,15.2,67275,10.9977,1.52,0.0
1787731022.363,360,15.0,68119,10.9873,1.52,0.0
1787731022.379,361,15.4,66545,10.9669,1.52,0.0
1787731022.394,362,15.2,67586,10.9833,1.52,0.0
1787731022.409,363,15.1,68027,10.9813,1.52,0.0
1787731022.424,364,15.4,66617,10.9630,1.52,0.0
1787731022.440,365,15.3,66960,10.9479,1.52,0.0
1787731022.456,366,15.5,66190,10.9816,1.52,0.0
1787731022.471,367,15.2,67299,10.9618,1.52,0.0
1787731022.486,368,15.4,66438,10.9844,1.52,0.0
1787731022.502,369,15.4,66332,10.9668,1.52,0.0
1787731022.518,370,15.5,66149,10.9880,1.52,0.0
1787731022.533,371,15.1,67892,10.9735,1.52,0.0
1787731022.548,372,15.4,66664,10.9805,1.52,0.0
1787731022.564,373,15.2,67390,10.9716,1.52,0.0
1787731022.579,374,15.5,65969,10.9670,1.52,0.0
1787731022.595,375,15.2,67412,10.9707,1.52,0.0
1787731022.610,376,15.0,68099,10.9595,1.52,0.0
1787731022.625,377,15.4,66608,10.9569,1.52,0.0
1787731022.641,378,15.2,67423,10.9540,1.52,0.0
1787731022.656,379,15.1,68000,10.9877,1.52,0.0
1787731022.671,380,15.4,66659,10.9503,1.52,0.0
1787731022.687,381,15.2,67444,10.9603,1.52,0.0
1787731022.702,382,15.0,68101,10.9551,1.52,0.0
1787731022.717,383,15.4,66547,10.9904,1.52,0.0
1787731022.733,384,15.2,67490,10.9711,1.52,0.0
1787731022.748,385,15.1,68025,10.9560,1.52,0.0
1787731022.763,386,15.4,66667,10.9595,1.52,0.0
1787731022.779,387,15.4,66590,10.9700,1.52,0.0
1787731022.795,388,15.4,66531,10.9890,1.52,0.0
1787731022.810,389,15.2,67328,10.9447,1.52,0.0
1787731022.825,390,15.4,66589,10.9458,1.52,0.0
1787731022.841,391,15.3,66982,10.9825,1.52,0.0
1787731022.856,392,15.0,68084,10.9904,1.52,0.0
1787731022.872,393,15.5,66066,10.9739,1.52,0.0
1787731022.887,394,15.1,67613,10.9783,1.52,0.0
1787731022.902,395,15.0,68084,10.9632,1.52,0.0
1787731022.917,396,15.4,66666,11.0251,1.52,0.0
1787731022.933,397,15.2,67480,10.9771,1.52,0.0
1787731022.948,398,15.1,67980,10.9913,1.52,0.0
