ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724284.404,529,36.3,28228,11.9469,4.01
1787724284.440,530,36.3,28225,11.9333,4.01
1787724284.477,531,36.3,28180,11.9400,4.01
1787724284.513,532,36.3,28231,11.9393,4.01
1787724284.549,533,36.3,28174,11.9401,4.01
1787724284.586,534,36.4,28167,11.9383,4.01
1787724284.622,535,36.4,28169,11.9389,4.01
1787724284.659,536,36.4,28132,11.9417,4.01
1787724284.695,537,36.3,28222,11.9440,4.01
1787724284.732,538,36.4,28168,11.9452,4.01
1787724284.768,539,36.3,28207,11.9375,4.01
1787724284.805,540,36.4,28149,11.9502,4.01
1787724284.841,541,36.3,28196,11.9544,4.01
1787724284.878,542,36.3,28199,11.9430,4.01
1787724284.914,543,36.3,28208,11.9419,4.01
1787724284.951,544,36.4,28138,11.9464,4.01
1787724284.987,545,36.3,28203,11.9504,4.01
1787724285.024,546,36.4,28104,11.9415,4.01
1787724285.060,547,36.3,28221,11.9405,4.01
1787724285.097,548,36.3,28192,11.9522,4.01
1787724285.133,549,36.3,28206,11.9521,4.01
1787724285.169,550,36.4,28145,11.9467,4.01
1787724285.206,551,36.4,28097,11.9499,4.01
1787724285.242,552,36.3,28220,11.9431,4.01
1787724285.279,553,36.3,28217,11.9412,4.01
1787724285.315,554,36.3,28206,11.9576,4.01
