ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724979.810,423,39.2,26142,11.9436,4.01
1787724979.965,424,37.1,27599,11.9542,4.01
1787724980.113,425,37.0,27661,11.9448,4.01
1787724980.261,426,36.8,27851,11.9419,4.01
1787724980.411,427,39.1,26197,11.9474,4.01
1787724980.573,428,44.2,23150,11.9344,4.01
1787724980.749,429,42.8,23923,11.9409,4.01
1787724980.918,430,39.8,25755,11.9520,4.01
1787724981.078,431,40.7,25170,11.9489,4.01
1787724981.238,432,37.4,27349,11.9389,4.01
1787724981.389,433,37.9,27052,11.9349,4.01
1787724981.541,434,38.5,26631,11.9450,4.01
1787724981.700,435,43.0,23804,11.9434,4.01
1787724981.868,436,38.9,26313,11.9491,4.01
1787724982.023,437,37.3,27458,11.9438,4.01
1787724982.177,438,41.6,24611,11.9459,4.01
1787724982.340,439,38.0,26938,11.9524,4.01
1787724982.492,440,37.1,27627,11.9418,4.01
1787724982.640,441,37.0,27712,11.9388,4.01
1787724982.789,442,37.2,27537,11.9371,4.01
1787724982.940,443,39.1,26190,11.9578,4.01
1787724983.095,444,38.0,26935,11.9389,4.01
1787724983.248,445,38.4,26664,11.9416,4.01
1787724983.403,446,39.4,26013,11.9433,4.01
1787724983.559,447,37.2,27517,11.9410,4.01
1787724983.708,448,36.9,27737,11.9449,4.01
1787724983.860,449,41.4,24724,11.9417,4.01
1787724984.022,450,37.0,27645,11.9487,4.01
1787724984.171,451,37.7,27162,11.9319,4.01
1787724984.321,452,37.1,27574,11.9405,4.01
1787724984.470,453,36.6,27973,11.9501,4.01
1787724984.617,454,36.9,27747,11.9465,4.01
1787724984.765,455,37.1,27566,11.9515,4.01
1787724984.914,456,37.1,27566,11.9482,4.01
1787724985.064,457,38.8,26386,11.9518,4.01
1787724985.219,458,38.0,26976,11.9446,4.01
1787724985.375,459,41.5,24675,11.9422,4.01
1787724985.576,460,76.5,13379,11.9532,4.01
1787724985.844,461,37.1,27569,11.9449,4.01
1787724985.992,462,36.8,27834,11.9457,4.01
1787724986.140,463,37.0,27653,11.9357,4.01
1787724986.289,464,37.2,27556,11.9459,4.01
1787724986.438,465,37.2,27552,11.9407,4.01
1787724986.586,466,36.7,27914,12.2938,4.01
1787724986.733,467,37.0,27669,11.9402,4.01
1787724986.882,468,37.4,27392,11.9620,4.01
1787724987.035,469,40.7,25147,11.9507,4.01
1787724987.195,470,37.1,27579,11.9637,4.01
1787724987.355,471,47.9,21368,11.9548,4.01
1787724987.536,472,37.5,27299,11.9486,4.01
1787724987.693,473,43.1,23783,11.9545,4.01
1787724987.862,474,39.6,25882,11.9559,4.01
1787724988.022,475,41.6,24615,11.9432,4.01
1787724988.189,476,41.2,24875,11.9481,4.01
1787724988.354,477,41.5,24683,11.9554,4.01
1787724988.552,478,71.7,14278,11.9443,4.01
1787724988.840,479,70.9,14444,11.9592,4.01
1787724989.125,480,71.1,14399,11.9499,4.01
